naca,camber,camber_position,thickness,alpha_deg,reynolds,cl,cd,cm,source_file
NACA 0008,0.0,0.0,0.08,6.0,500000.0,0.6554,0.01347,0.0018,T1-Re0.500-N9.0.txt
NACA 0008,0.0,0.0,0.08,7.0,500000.0,0.7511,0.01625,0.0046,T1-Re0.500-N9.0.txt
NACA 0008,0.0,0.0,0.08,8.0,500000.0,0.8414,0.02125,0.0078,T1-Re0.500-N9.0.txt
NACA 0008,0.0,0.0,0.08,9.0,500000.0,0.9165,0.02883,0.0116,T1-Re0.500-N9.0.txt
NACA 0008,0.0,0.0,0.08,10.0,500000.0,0.908,0.04822,0.0175,T1-Re0.500-N9.0.txt
NACA 0009,0.0,0.0,0.09,-6.0,500000.0,-0.6677,0.01249,0.0003,T1-Re0.500-N9.0.txt
NACA 0009,0.0,0.0,0.09,-5.0,500000.0,-0.5742,0.01077,0.0036,T1-Re0.500-N9.0.txt
NACA 0009,0.0,0.0,0.09,-4.0,500000.0,-0.4815,0.00906,0.0068,T1-Re0.500-N9.0.txt
NACA 0009,0.0,0.0,0.09,-3.0,500000.0,-0.3865,0.00756,0.0092,T1-Re0.500-N9.0.txt
NACA 0009,0.0,0.0,0.09,-2.0,500000.0,-0.2608,0.00646,0.0054,T1-Re0.500-N9.0.txt
NACA 0009,0.0,0.0,0.09,-1.0,500000.0,-0.1142,0.0056,-0.0016,T1-Re0.500-N9.0.txt
NACA 0009,0.0,0.0,0.09,0.0,500000.0,0.0,0.0053,-0.0,T1-Re0.500-N9.0.txt
NACA 0009,0.0,0.0,0.09,1.0,500000.0,0.1142,0.0056,0.0016,T1-Re0.500-N9.0.txt
NACA 0009,0.0,0.0,0.09,2.0,500000.0,0.2609,0.00646,-0.0054,T1-Re0.500-N9.0.txt
NACA 0009,0.0,0.0,0.09,3.0,500000.0,0.3864,0.00756,-0.0092,T1-Re0.500-N9.0.txt
NACA 0009,0.0,0.0,0.09,4.0,500000.0,0.4814,0.00906,-0.0068,T1-Re0.500-N9.0.txt
NACA 0009,0.0,0.0,0.09,5.0,500000.0,0.5742,0.01077,-0.0036,T1-Re0.500-N9.0.txt
NACA 0009,0.0,0.0,0.09,6.0,500000.0,0.6677,0.01249,-0.0003,T1-Re0.500-N9.0.txt
NACA 0009,0.0,0.0,0.09,7.0,500000.0,0.7606,0.01467,0.003,T1-Re0.500-N9.0.txt
NACA 0009,0.0,0.0,0.09,8.0,500000.0,0.8503,0.01788,0.0063,T1-Re0.500-N9.0.txt
NACA 0009,0.0,0.0,0.09,9.0,500000.0,0.939,0.02151,0.0093,T1-Re0.500-N9.0.txt
NACA 0009,0.0,0.0,0.09,10.0,500000.0,1.0113,0.0282,0.0138,T1-Re0.500-N9.0.txt
NACA 0009,0.0,0.0,0.09,11.0,500000.0,1.0556,0.0367,0.019,T1-Re0.500-N9.0.txt
NACA 0009,0.0,0.0,0.09,12.0,500000.0,1.005,0.0514,0.0241,T1-Re0.500-N9.0.txt
NACA 0010,0.0,0.0,0.1,-6.0,500000.0,-0.6822,0.01207,0.0029,T1-Re0.500-N9.0.txt
NACA 0010,0.0,0.0,0.1,-5.0,500000.0,-0.5922,0.0105,0.0068,T1-Re0.500-N9.0.txt
NACA 0010,0.0,0.0,0.1,-4.0,500000.0,-0.5013,0.009,0.0102,T1-Re0.500-N9.0.txt
NACA 0010,0.0,0.0,0.1,-3.0,500000.0,-0.3833,0.00773,0.0077,T1-Re0.500-N9.0.txt
NACA 0010,0.0,0.0,0.1,-2.0,500000.0,-0.2322,0.00664,-0.0011,T1-Re0.500-N9.0.txt
NACA 0010,0.0,0.0,0.1,-1.0,500000.0,-0.1032,0.00582,-0.0039,T1-Re0.500-N9.0.txt
NACA 0010,0.0,0.0,0.1,0.0,500000.0,0.0,0.00551,-0.0,T1-Re0.500-N9.0.txt
NACA 0010,0.0,0.0,0.1,1.0,500000.0,0.1032,0.00582,0.0039,T1-Re0.500-N9.0.txt
NACA 0010,0.0,0.0,0.1,2.0,500000.0,0.2321,0.00664,0.0011,T1-Re0.500-N9.0.txt
NACA 0010,0.0,0.0,0.1,3.0,500000.0,0.3833,0.00773,-0.0077,T1-Re0.500-N9.0.txt
NACA 0010,0.0,0.0,0.1,4.0,500000.0,0.5013,0.009,-0.0102,T1-Re0.500-N9.0.txt
NACA 0010,0.0,0.0,0.1,5.0,500000.0,0.5921,0.0105,-0.0068,T1-Re0.500-N9.0.txt
NACA 0010,0.0,0.0,0.1,6.0,500000.0,0.6822,0.01207,-0.0029,T1-Re0.500-N9.0.txt
NACA 0010,0.0,0.0,0.1,7.0,500000.0,0.7718,0.01388,0.0011,T1-Re0.500-N9.0.txt
NACA 0010,0.0,0.0,0.1,8.0,500000.0,0.8597,0.0163,0.005,T1-Re0.500-N9.0.txt
NACA 0010,0.0,0.0,0.1,9.0,500000.0,0.9469,0.01916,0.0085,T1-Re0.500-N9.0.txt
NACA 0010,0.0,0.0,0.1,10.0,500000.0,1.0281,0.02302,0.0123,T1-Re0.500-N9.0.txt
NACA 0010,0.0,0.0,0.1,11.0,500000.0,1.1009,0.02737,0.0164,T1-Re0.500-N9.0.txt
NACA 0010,0.0,0.0,0.1,12.0,500000.0,1.1369,0.0351,0.0234,T1-Re0.500-N9.0.txt
NACA 0010,0.0,0.0,0.1,13.0,500000.0,1.11,0.04611,0.0297,T1-Re0.500-N9.0.txt
NACA 0010,0.0,0.0,0.1,14.0,500000.0,1.0085,0.07723,0.0095,T1-Re0.500-N9.0.txt
NACA 0012,0.0,0.0,0.12,-6.0,500000.0,-0.7221,0.01171,0.0101,T1-Re0.500-N9.0.txt
NACA 0012,0.0,0.0,0.12,-5.0,500000.0,-0.6269,0.0104,0.0124,T1-Re0.500-N9.0.txt
NACA 0012,0.0,0.0,0.12,-4.0,500000.0,-0.4782,0.00901,0.0036,T1-Re0.500-N9.0.txt
NACA 0012,0.0,0.0,0.12,-3.0,500000.0,-0.33,0.00785,-0.0046,T1-Re0.500-N9.0.txt
NACA 0012,0.0,0.0,0.12,-2.0,500000.0,-0.2083,0.00696,-0.006,T1-Re0.500-N9.0.txt
NACA 0012,0.0,0.0,0.12,-1.0,500000.0,-0.1035,0.00638,-0.0032,T1-Re0.500-N9.0.txt
NACA 0012,0.0,0.0,0.12,0.0,500000.0,0.0,0.00617,-0.0,T1-Re0.500-N9.0.txt
NACA 0012,0.0,0.0,0.12,1.0,500000.0,0.1035,0.00638,0.0032,T1-Re0.500-N9.0.txt
NACA 0012,0.0,0.0,0.12,2.0,500000.0,0.2083,0.00696,0.006,T1-Re0.500-N9.0.txt
NACA 0012,0.0,0.0,0.12,3.0,500000.0,0.33,0.00785,0.0046,T1-Re0.500-N9.0.txt
NACA 0012,0.0,0.0,0.12,4.0,500000.0,0.4782,0.00901,-0.0036,T1-Re0.500-N9.0.txt
NACA 0012,0.0,0.0,0.12,5.0,500000.0,0.6269,0.0104,-0.0124,T1-Re0.500-N9.0.txt
NACA 0012,0.0,0.0,0.12,6.0,500000.0,0.722,0.01171,-0.0101,T1-Re0.500-N9.0.txt
NACA 0012,0.0,0.0,0.12,7.0,500000.0,0.8039,0.01316,-0.0048,T1-Re0.500-N9.0.txt
NACA 0012,0.0,0.0,0.12,8.0,500000.0,0.8837,0.01492,0.0009,T1-Re0.500-N9.0.txt
NACA 0012,0.0,0.0,0.12,9.0,500000.0,0.9645,0.01683,0.0061,T1-Re0.500-N9.0.txt
NACA 0012,0.0,0.0,0.12,10.0,500000.0,1.0419,0.0194,0.0112,T1-Re0.500-N9.0.txt
NACA 0012,0.0,0.0,0.12,11.0,500000.0,1.113,0.02253,0.0165,T1-Re0.500-N9.0.txt
NACA 0012,0.0,0.0,0.12,12.0,500000.0,1.1751,0.02568,0.0224,T1-Re0.500-N9.0.txt
NACA 0012,0.0,0.0,0.12,13.0,500000.0,1.2086,0.03066,0.0301,T1-Re0.500-N9.0.txt
NACA 0012,0.0,0.0,0.12,14.0,500000.0,1.2323,0.03721,0.0341,T1-Re0.500-N9.0.txt
NACA 0015,0.0,0.0,0.15,-6.0,500000.0,-0.6942,0.0115,0.0018,T1-Re0.500-N9.0.txt
NACA 0015,0.0,0.0,0.15,-5.0,500000.0,-0.5472,0.01015,-0.0062,T1-Re0.500-N9.0.txt
NACA 0015,0.0,0.0,0.15,-4.0,500000.0,-0.4214,0.00905,-0.0089,T1-Re0.500-N9.0.txt
NACA 0015,0.0,0.0,0.15,-3.0,500000.0,-0.3154,0.00824,-0.0069,T1-Re0.500-N9.0.txt
NACA 0015,0.0,0.0,0.15,-2.0,500000.0,-0.2109,0.0077,-0.0044,T1-Re0.500-N9.0.txt
NACA 0015,0.0,0.0,0.15,-1.0,500000.0,-0.1055,0.0074,-0.0022,T1-Re0.500-N9.0.txt
NACA 0015,0.0,0.0,0.15,0.0,500000.0,-0.0,0.00731,0.0,T1-Re0.500-N9.0.txt
NACA 0015,0.0,0.0,0.15,1.0,500000.0,0.1055,0.0074,0.0022,T1-Re0.500-N9.0.txt
NACA 0015,0.0,0.0,0.15,2.0,500000.0,0.2109,0.0077,0.0044,T1-Re0.500-N9.0.txt
NACA 0015,0.0,0.0,0.15,3.0,500000.0,0.3154,0.00824,0.0068,T1-Re0.500-N9.0.txt
NACA 0015,0.0,0.0,0.15,5.0,500000.0,0.5472,0.01015,0.0062,T1-Re0.500-N9.0.txt
NACA 0015,0.0,0.0,0.15,6.0,500000.0,0.6942,0.01149,-0.0019,T1-Re0.500-N9.0.txt
NACA 0015,0.0,0.0,0.15,7.0,500000.0,0.8388,0.01299,-0.0098,T1-Re0.500-N9.0.txt
NACA 0015,0.0,0.0,0.15,8.0,500000.0,0.9452,0.01438,-0.0102,T1-Re0.500-N9.0.txt
NACA 0015,0.0,0.0,0.15,9.0,500000.0,1.0064,0.01582,-0.0013,T1-Re0.500-N9.0.txt
NACA 0015,0.0,0.0,0.15,10.0,500000.0,1.064,0.01751,0.0081,T1-Re0.500-N9.0.txt
NACA 0015,0.0,0.0,0.15,11.0,500000.0,1.1204,0.01955,0.017,T1-Re0.500-N9.0.txt
NACA 0015,0.0,0.0,0.15,12.0,500000.0,1.1633,0.02243,0.0264,T1-Re0.500-N9.0.txt
NACA 0015,0.0,0.0,0.15,13.0,500000.0,1.2073,0.02625,0.0327,T1-Re0.500-N9.0.txt
NACA 0015,0.0,0.0,0.15,14.0,500000.0,1.2469,0.03132,0.0364,T1-Re0.500-N9.0.txt
NACA 0018,0.0,0.0,0.18,-6.0,500000.0,-0.6244,0.01129,-0.0132,T1-Re0.500-N9.0.txt
NACA 0018,0.0,0.0,0.18,-5.0,500000.0,-0.5198,0.01024,-0.0113,T1-Re0.500-N9.0.txt
NACA 0018,0.0,0.0,0.18,-4.0,500000.0,-0.4185,0.0095,-0.0084,T1-Re0.500-N9.0.txt
NACA 0018,0.0,0.0,0.18,-3.0,500000.0,-0.3151,0.00897,-0.0061,T1-Re0.500-N9.0.txt
NACA 0018,0.0,0.0,0.18,-2.0,500000.0,-0.2104,0.00864,-0.0039,T1-Re0.500-N9.0.txt
NACA 0018,0.0,0.0,0.18,-1.0,500000.0,-0.1053,0.00846,-0.0019,T1-Re0.500-N9.0.txt
NACA 0018,0.0,0.0,0.18,0.0,500000.0,0.0,0.00841,-0.0,T1-Re0.500-N9.0.txt
NACA 0018,0.0,0.0,0.18,1.0,500000.0,0.1053,0.00846,0.0019,T1-Re0.500-N9.0.txt
NACA 0018,0.0,0.0,0.18,2.0,500000.0,0.2104,0.00864,0.0039,T1-Re0.500-N9.0.txt
NACA 0018,0.0,0.0,0.18,3.0,500000.0,0.3151,0.00897,0.0061,T1-Re0.500-N9.0.txt
NACA 0018,0.0,0.0,0.18,4.0,500000.0,0.4186,0.0095,0.0084,T1-Re0.500-N9.0.txt
NACA 0018,0.0,0.0,0.18,5.0,500000.0,0.5198,0.01024,0.0113,T1-Re0.500-N9.0.txt
NACA 0018,0.0,0.0,0.18,6.0,500000.0,0.6244,0.01129,0.0132,T1-Re0.500-N9.0.txt
NACA 0018,0.0,0.0,0.18,7.0,500000.0,0.7546,0.01263,0.009,T1-Re0.500-N9.0.txt
NACA 0018,0.0,0.0,0.18,8.0,500000.0,0.8968,0.01418,0.0016,T1-Re0.500-N9.0.txt
NACA 0018,0.0,0.0,0.18,9.0,500000.0,1.0378,0.0159,-0.0061,T1-Re0.500-N9.0.txt
NACA 0018,0.0,0.0,0.18,10.0,500000.0,1.1015,0.01739,0.0012,T1-Re0.500-N9.0.txt
NACA 0018,0.0,0.0,0.18,11.0,500000.0,1.1054,0.01867,0.0201,T1-Re0.500-N9.0.txt
NACA 0018,0.0,0.0,0.18,12.0,500000.0,1.1445,0.0212,0.0299,T1-Re0.500-N9.0.txt
NACA 0018,0.0,0.0,0.18,13.0,500000.0,1.1911,0.02472,0.0358,T1-Re0.500-N9.0.txt
NACA 0018,0.0,0.0,0.18,14.0,500000.0,1.2281,0.02984,0.0398,T1-Re0.500-N9.0.txt
NACA 0021,0.0,0.0,0.21,-6.0,500000.0,-0.604,0.01153,-0.016,T1-Re0.500-N9.0.txt
NACA 0021,0.0,0.0,0.21,-5.0,500000.0,-0.5086,0.0108,-0.0123,T1-Re0.500-N9.0.txt
NACA 0021,0.0,0.0,0.21,-4.0,500000.0,-0.4095,0.01025,-0.0094,T1-Re0.500-N9.0.txt
NACA 0021,0.0,0.0,0.21,-3.0,500000.0,-0.3085,0.00987,-0.0068,T1-Re0.500-N9.0.txt
NACA 0021,0.0,0.0,0.21,-2.0,500000.0,-0.2059,0.00964,-0.0045,T1-Re0.500-N9.0.txt
NACA 0021,0.0,0.0,0.21,-1.0,500000.0,-0.1033,0.00949,-0.0022,T1-Re0.500-N9.0.txt
NACA 0021,0.0,0.0,0.21,0.0,500000.0,-0.0,0.00945,0.0,T1-Re0.500-N9.0.txt
NACA 0021,0.0,0.0,0.21,1.0,500000.0,0.1033,0.00949,0.0022,T1-Re0.500-N9.0.txt
NACA 0021,0.0,0.0,0.21,2.0,500000.0,0.2059,0.00964,0.0045,T1-Re0.500-N9.0.txt
NACA 0021,0.0,0.0,0.21,3.0,500000.0,0.3086,0.00987,0.0068,T1-Re0.500-N9.0.txt
NACA 0021,0.0,0.0,0.21,4.0,500000.0,0.4095,0.01025,0.0094,T1-Re0.500-N9.0.txt
NACA 0021,0.0,0.0,0.21,5.0,500000.0,0.5087,0.0108,0.0123,T1-Re0.500-N9.0.txt
NACA 0021,0.0,0.0,0.21,6.0,500000.0,0.6041,0.01153,0.016,T1-Re0.500-N9.0.txt
NACA 0021,0.0,0.0,0.21,7.0,500000.0,0.6943,0.01252,0.0206,T1-Re0.500-N9.0.txt
NACA 0021,0.0,0.0,0.21,8.0,500000.0,0.7949,0.01386,0.0225,T1-Re0.500-N9.0.txt
NACA 0021,0.0,0.0,0.21,9.0,500000.0,0.9277,0.01565,0.0166,T1-Re0.500-N9.0.txt
NACA 0021,0.0,0.0,0.21,10.0,500000.0,1.0593,0.01762,0.0099,T1-Re0.500-N9.0.txt
NACA 0021,0.0,0.0,0.21,11.0,500000.0,1.1068,0.01939,0.0183,T1-Re0.500-N9.0.txt
NACA 0021,0.0,0.0,0.21,12.0,500000.0,1.1185,0.02157,0.0325,T1-Re0.500-N9.0.txt
NACA 0021,0.0,0.0,0.21,13.0,500000.0,1.1532,0.02529,0.0396,T1-Re0.500-N9.0.txt
NACA 0021,0.0,0.0,0.21,14.0,500000.0,1.1932,0.03007,0.0435,T1-Re0.500-N9.0.txt
NACA 0024,0.0,0.0,0.24,-6.0,500000.0,-0.5675,0.01214,-0.0217,T1-Re0.500-N9.0.txt
NACA 0024,0.0,0.0,0.24,-5.0,500000.0,-0.4829,0.01158,-0.0164,T1-Re0.500-N9.0.txt
NACA 0024,0.0,0.0,0.24,-4.0,500000.0,-0.3901,0.01115,-0.0125,T1-Re0.500-N9.0.txt
NACA 0024,0.0,0.0,0.24,-3.0,500000.0,-0.2944,0.01086,-0.0091,T1-Re0.500-N9.0.txt
NACA 0024,0.0,0.0,0.24,-2.0,500000.0,-0.1974,0.01064,-0.0059,T1-Re0.500-N9.0.txt
NACA 0024,0.0,0.0,0.24,-1.0,500000.0,-0.0991,0.01053,-0.0029,T1-Re0.500-N9.0.txt
NACA 0024,0.0,0.0,0.24,0.0,500000.0,0.0,0.01049,-0.0,T1-Re0.500-N9.0.txt
NACA 0024,0.0,0.0,0.24,1.0,500000.0,0.0991,0.01053,0.0029,T1-Re0.500-N9.0.txt
NACA 0024,0.0,0.0,0.24,2.0,500000.0,0.1974,0.01064,0.0059,T1-Re0.500-N9.0.txt
NACA 0024,0.0,0.0,0.24,3.0,500000.0,0.2944,0.01086,0.0091,T1-Re0.500-N9.0.txt
NACA 0024,0.0,0.0,0.24,4.0,500000.0,0.3901,0.01115,0.0125,T1-Re0.500-N9.0.txt
NACA 0024,0.0,0.0,0.24,5.0,500000.0,0.483,0.01158,0.0163,T1-Re0.500-N9.0.txt
NACA 0024,0.0,0.0,0.24,6.0,500000.0,0.5677,0.01214,0.0217,T1-Re0.500-N9.0.txt
NACA 0024,0.0,0.0,0.24,7.0,500000.0,0.6495,0.013,0.0273,T1-Re0.500-N9.0.txt
NACA 0024,0.0,0.0,0.24,8.0,500000.0,0.7279,0.01417,0.0333,T1-Re0.500-N9.0.txt
NACA 0024,0.0,0.0,0.24,9.0,500000.0,0.8099,0.01581,0.0378,T1-Re0.500-N9.0.txt
NACA 0024,0.0,0.0,0.24,10.0,500000.0,0.9291,0.01814,0.0331,T1-Re0.500-N9.0.txt
NACA 0024,0.0,0.0,0.24,11.0,500000.0,1.0561,0.02077,0.0256,T1-Re0.500-N9.0.txt
NACA 0024,0.0,0.0,0.24,12.0,500000.0,1.1133,0.02365,0.0293,T1-Re0.500-N9.0.txt
NACA 0024,0.0,0.0,0.24,13.0,500000.0,1.1193,0.02684,0.0413,T1-Re0.500-N9.0.txt
NACA 0024,0.0,0.0,0.24,14.0,500000.0,1.144,0.03177,0.047,T1-Re0.500-N9.0.txt
NACA 1408,0.01,0.4,0.08,-6.0,500000.0,-0.5685,0.01395,-0.0217,T1-Re0.500-N9.0.txt
NACA 1408,0.01,0.4,0.08,-5.0,500000.0,-0.477,0.01173,-0.018,T1-Re0.500-N9.0.txt
NACA 1408,0.01,0.4,0.08,-4.0,500000.0,-0.3827,0.01002,-0.015,T1-Re0.500-N9.0.txt
NACA 1408,0.01,0.4,0.08,-3.0,500000.0,-0.2652,0.00849,-0.0173,T1-Re0.500-N9.0.txt
NACA 1408,0.01,0.4,0.08,-2.0,500000.0,-0.1201,0.00664,-0.0258,T1-Re0.500-N9.0.txt
NACA 1408,0.01,0.4,0.08,-1.0,500000.0,0.008,0.0053,-0.0283,T1-Re0.500-N9.0.txt
NACA 1408,0.01,0.4,0.08,0.0,500000.0,0.1439,0.00517,-0.0316,T1-Re0.500-N9.0.txt
NACA 1408,0.01,0.4,0.08,1.0,500000.0,0.2691,0.00526,-0.0339,T1-Re0.500-N9.0.txt
NACA 1408,0.01,0.4,0.08,2.0,500000.0,0.3684,0.00583,-0.0307,T1-Re0.500-N9.0.txt
NACA 1408,0.01,0.4,0.08,3.0,500000.0,0.4667,0.0068,-0.0279,T1-Re0.500-N9.0.txt
NACA 1408,0.01,0.4,0.08,4.0,500000.0,0.5638,0.00843,-0.0255,T1-Re0.500-N9.0.txt
NACA 1408,0.01,0.4,0.08,5.0,500000.0,0.659,0.01098,-0.0233,T1-Re0.500-N9.0.txt
NACA 1408,0.01,0.4,0.08,6.0,500000.0,0.7574,0.01316,-0.0211,T1-Re0.500-N9.0.txt
NACA 1408,0.01,0.4,0.08,7.0,500000.0,0.8523,0.01587,-0.0185,T1-Re0.500-N9.0.txt
NACA 1408,0.01,0.4,0.08,8.0,500000.0,0.9421,0.01987,-0.0154,T1-Re0.500-N9.0.txt
NACA 1408,0.01,0.4,0.08,9.0,500000.0,1.0278,0.02479,-0.012,T1-Re0.500-N9.0.txt
NACA 1408,0.01,0.4,0.08,10.0,500000.0,0.9909,0.05286,0.0008,T1-Re0.500-N9.0.txt
NACA 1408,0.01,0.4,0.08,14.0,500000.0,0.7993,0.17057,-0.0581,T1-Re0.500-N9.0.txt
NACA 1410,0.01,0.4,0.1,-6.0,500000.0,-0.6095,0.01257,-0.0139,T1-Re0.500-N9.0.txt
NACA 1410,0.01,0.4,0.1,-5.0,500000.0,-0.5074,0.0111,-0.0128,T1-Re0.500-N9.0.txt
NACA 1410,0.01,0.4,0.1,-4.0,500000.0,-0.3596,0.00958,-0.0214,T1-Re0.500-N9.0.txt
NACA 1410,0.01,0.4,0.1,-3.0,500000.0,-0.2144,0.00809,-0.0293,T1-Re0.500-N9.0.txt
NACA 1410,0.01,0.4,0.1,-2.0,500000.0,-0.0889,0.0067,-0.0322,T1-Re0.500-N9.0.txt
NACA 1410,0.01,0.4,0.1,-1.0,500000.0,0.0145,0.00578,-0.0291,T1-Re0.500-N9.0.txt
NACA 1410,0.01,0.4,0.1,0.0,500000.0,0.1142,0.00556,-0.0244,T1-Re0.500-N9.0.txt
NACA 1410,0.01,0.4,0.1,1.0,500000.0,0.2415,0.00596,-0.0262,T1-Re0.500-N9.0.txt
NACA 1410,0.01,0.4,0.1,2.0,500000.0,0.3961,0.00656,-0.0354,T1-Re0.500-N9.0.txt
NACA 1410,0.01,0.4,0.1,3.0,500000.0,0.4936,0.00721,-0.0327,T1-Re0.500-N9.0.txt
NACA 1410,0.01,0.4,0.1,4.0,500000.0,0.5892,0.00815,-0.0296,T1-Re0.500-N9.0.txt
NACA 1410,0.01,0.4,0.1,5.0,500000.0,0.6806,0.00979,-0.0262,T1-Re0.500-N9.0.txt
NACA 1410,0.01,0.4,0.1,6.0,500000.0,0.7723,0.01182,-0.023,T1-Re0.500-N9.0.txt
NACA 1410,0.01,0.4,0.1,7.0,500000.0,0.8664,0.01381,-0.0201,T1-Re0.500-N9.0.txt
NACA 1410,0.01,0.4,0.1,8.0,500000.0,0.9579,0.01607,-0.0171,T1-Re0.500-N9.0.txt
NACA 1410,0.01,0.4,0.1,9.0,500000.0,1.045,0.01869,-0.0136,T1-Re0.500-N9.0.txt
NACA 1410,0.01,0.4,0.1,10.0,500000.0,1.1235,0.02212,-0.0092,T1-Re0.500-N9.0.txt
NACA 1410,0.01,0.4,0.1,11.0,500000.0,1.1913,0.02642,-0.004,T1-Re0.500-N9.0.txt
NACA 1410,0.01,0.4,0.1,12.0,500000.0,1.2353,0.03231,0.0032,T1-Re0.500-N9.0.txt
NACA 1410,0.01,0.4,0.1,13.0,500000.0,1.2424,0.03992,0.0114,T1-Re0.500-N9.0.txt
NACA 1410,0.01,0.4,0.1,14.0,500000.0,1.2158,0.05323,0.0121,T1-Re0.500-N9.0.txt
NACA 1412,0.01,0.4,0.12,-6.0,500000.0,-0.6017,0.01212,-0.0169,T1-Re0.500-N9.0.txt
NACA 1412,0.01,0.4,0.12,-5.0,500000.0,-0.4564,0.01061,-0.0247,T1-Re0.500-N9.0.txt
NACA 1412,0.01,0.4,0.12,-3.0,500000.0,-0.1942,0.00802,-0.0332,T1-Re0.500-N9.0.txt
NACA 1412,0.01,0.4,0.12,-2.0,500000.0,-0.0896,0.00705,-0.0309,T1-Re0.500-N9.0.txt
NACA 1412,0.01,0.4,0.12,-1.0,500000.0,0.0138,0.00643,-0.0281,T1-Re0.500-N9.0.txt
NACA 1412,0.01,0.4,0.12,0.0,500000.0,0.1169,0.0062,-0.0249,T1-Re0.500-N9.0.txt
NACA 1412,0.01,0.4,0.12,1.0,500000.0,0.2201,0.00645,-0.0215,T1-Re0.500-N9.0.txt
NACA 1412,0.01,0.4,0.12,2.0,500000.0,0.3424,0.00707,-0.0227,T1-Re0.500-N9.0.txt
NACA 1412,0.01,0.4,0.12,3.0,500000.0,0.497,0.00783,-0.0318,T1-Re0.500-N9.0.txt
NACA 1412,0.01,0.4,0.12,4.0,500000.0,0.6248,0.00855,-0.0358,T1-Re0.500-N9.0.txt
NACA 1412,0.01,0.4,0.12,5.0,500000.0,0.7132,0.00957,-0.0316,T1-Re0.500-N9.0.txt
NACA 1412,0.01,0.4,0.12,6.0,500000.0,0.7982,0.01107,-0.0269,T1-Re0.500-N9.0.txt
NACA 1412,0.01,0.4,0.12,7.0,500000.0,0.8827,0.01285,-0.0222,T1-Re0.500-N9.0.txt
NACA 1412,0.01,0.4,0.12,8.0,500000.0,0.9698,0.01471,-0.0182,T1-Re0.500-N9.0.txt
NACA 1412,0.01,0.4,0.12,9.0,500000.0,1.0555,0.01677,-0.0142,T1-Re0.500-N9.0.txt
NACA 1412,0.01,0.4,0.12,10.0,500000.0,1.1326,0.01937,-0.0093,T1-Re0.500-N9.0.txt
